frame_id,timestamp,tracking_state,error_px,latency_ms,atmosphere,gaussian_std,sp_density,platform_offset,jitter_offset
115,3.8666666666666627,LOCKED,11.918706234410823,14.36161994934082,Fog,12.0,0.04,"(-7.914178663703912, 1.1686642284992543)","(-4.315924835233048, -0.970628168204354)"
116,3.899999999999996,LOCKED,15.8056715877361,14.028072357177734,Fog,12.0,0.04,"(-7.858298005829518, 1.4990505166857522)","(5.59478294571818, 1.1525106388124744)"
117,3.933333333333329,LOCKED,14.669630226430034,13.981103897094727,Fog,12.0,0.04,"(-7.788631222985292, 1.826806960885202)","(5.196278659202534, 3.652330987355649)"
118,3.9666666666666623,LOCKED,9.88916694972715,17.061233520507812,Fog,12.0,0.04,"(-7.705300534381277, 2.1513585649220826)","(-0.3914207813365014, 3.4171613910262497)"
119,3.9999999999999956,LOCKED,17.83932009797474,20.03026008605957,Fog,12.0,0.04,"(-7.6084521303612425, 2.4721359549995374)","(-5.785958592276147, -4.69027203881118)"
120,4.033333333333329,LOCKED,14.28205627346198,15.830755233764648,Fog,12.0,0.04,"(-7.498255915935149, 2.788576378574474)","(3.953143378592836, 3.561805059901941)"
121,4.066666666666662,LOCKED,13.31394081306542,14.485359191894531,Fog,12.0,0.04,"(-7.374905212708024, 3.1001246916167773)","(-3.2083110964027957, 0.36923508718864184)"
122,4.099999999999995,LOCKED,10.988242036793705,21.68440818786621,Fog,12.0,0.04,"(-7.238616419728177, 3.406234332520536)","(1.2721898484001315, 4.412867445312134)"
123,4.133333333333328,LOCKED,15.938347547140188,21.654605865478516,Fog,12.0,0.04,"(-7.089628633849741, 3.70636828095885)","(1.237285888064708, -1.0491411687158365)"
124,4.166666666666662,LOCKED,16.10332545311424,17.148494720458984,Fog,12.0,0.04,"(-6.928203230275534, 3.9999999999999574)","(-1.509791479113808, -0.889414963517881)"
125,4.199999999999995,LOCKED,11.35893458145606,12.307882308959961,Fog,12.0,0.04,"(-6.754623404016151, 4.286614359831926)","(1.8231723069596901, 4.409887581027899)"
126,4.233333333333328,LOCKED,19.71140634862497,26.024341583251953,Fog,12.0,0.04,"(-6.569193673069663, 4.565708541475408)","(-0.5532374150844035, -3.0259252445837026)"
127,4.266666666666661,LOCKED,11.677714765353905,29.050111770629883,Fog,12.0,0.04,"(-6.372239344193603, 4.836792918898955)","(-3.1600516440290263, 2.952171362921357)"
128,4.2999999999999945,LOCKED,22.859997125131514,20.102262496948242,Fog,12.0,0.04,"(-6.164105942206349, 5.099391917989476)","(3.798825161086924, -4.7366630417505)"
129,4.333333333333328,LOCKED,11.9642100138501,15.862703323364258,Fog,12.0,0.04,"(-5.945158603819195, 5.353044850870821)","(-5.201293716537862, 1.1332039650774215)"
130,4.366666666666661,LOCKED,10.371027545461592,13.684988021850586,Fog,12.0,0.04,"(-5.7157814370624695, 5.59730672410688)","(-4.24592106968762, 3.8959702854760963)"
131,4.399999999999994,LOCKED,21.845032178790674,10.970354080200195,Fog,12.0,0.04,"(-5.476376847429553, 5.831749019371251)","(-2.275983912911107, -4.273536804346288)"
132,4.433333333333327,LOCKED,21.57155999711377,17.745018005371094,Fog,12.0,0.04,"(-5.227364831920888, 6.055960445214012)","(5.051645669849403, -4.013619327176662)"
133,4.466666666666661,LOCKED,18.34824429540006,13.468503952026367,Fog,12.0,0.04,"(-4.969182242226535, 6.269547658606677)","(-2.5833590119447734, -4.156639257695296)"
134,4.499999999999994,LOCKED,18.695632210469615,13.20648193359375,Fog,12.0,0.04,"(-4.702282018339838, 6.4721359549995405)","(-4.614119236015741, -5.746223803962719)"
135,4.533333333333327,LOCKED,16.618517868778508,12.48621940612793,Fog,12.0,0.04,"(-4.427132393946807, 6.66336992568076)","(-5.335255090028879, -3.9043023487697677)"
136,4.56666666666666,LOCKED,11.928078234356684,13.813972473144531,Fog,12.0,0.04,"(-4.144216074985097, 6.84291408128402)","(-5.359416808473895, 1.0937257933316546)"
137,4.599999999999993,LOCKED,18.763798492211674,13.594627380371094,Fog,12.0,0.04,"(-3.8540293928137785, 7.010453440350878)","(2.168574321594077, -1.2764345180156607)"
138,4.633333333333327,LOCKED,14.63269277572218,12.289047241210938,Fog,12.0,0.04,"(-3.5570814334794836, 7.165694081915271)","(-2.184106836575407, 0.05431484426676114)"
139,4.66666666666666,LOCKED,15.63035800136856,14.191627502441406,Fog,12.0,0.04,"(-3.253893144606466, 7.3083636611407785)","(4.500059306815302, 4.213579521866471)"
140,4.699999999999993,LOCKED,20.778011860344332,11.768341064453125,Fog,12.0,0.04,"(-2.9449964214774886, 7.438211887105986)","(-5.478299255846497, -3.822019084841711)"
141,4.733333333333326,LOCKED,19.2234617156237,15.761137008666992,Fog,12.0,0.04,"(-2.6309331739087316, 7.555010961899826)","(-3.159061546747248, -3.007349090013458)"
142,4.7666666666666595,LOCKED,18.381721604579674,14.638185501098633,Fog,12.0,0.04,"(-2.312254375555846, 7.658555980256516)","(0.8547918209132721, -1.0048508915616932)"
143,4.799999999999993,LOCKED,16.4383107355195,16.31951332092285,Fog,12.0,0.04,"(-1.9895190973189116, 7.74866528902903)","(-5.408950560868872, -1.5166303384851414)"
144,4.833333333333326,LOCKED,21.56098870848758,18.938064575195312,Fog,12.0,0.04,"(-1.6632935265421485, 7.8251808058704295)","(0.28503538461164624, -4.779937165155408)"
145,4.866666666666659,LOCKED,23.250458980463733,15.58995246887207,Fog,12.0,0.04,"(-1.334149973728892, 7.8879682965640265)","(4.0015026454627165, -5.376457602418749)"
146,4.899999999999992,LOCKED,21.707550396391042,15.798568725585938,Fog,12.0,0.04,"(-1.002665868514515, 7.936917610515812)","(5.098102428216745, -4.810642301041494)"
147,4.933333333333326,LOCKED,11.265471915225772,14.39666748046875,Fog,12.0,0.04,"(-0.6694227466586047, 7.971942873996028)","(4.122899419173033, 4.831837727131404)"
148,4.966666666666659,LOCKED,14.15587083858772,10.74075698852539,Fog,12.0,0.04,"(-0.33500522983367753, 7.9929826407908635)","(5.754848167039112, 3.6243105632831227)"
149,4.999999999999992,LOCKED,17.2912237916961,13.094425201416016,Fog,12.0,0.04,"(-8.011913581224678e-14, 8.0)","(3.3537304892559465, 1.709799311946572)"
150,5.033333333333325,LOCKED,23.013688941093346,11.539220809936523,Fog,12.0,0.04,"(0.33500522983351033, 7.992982640790871)","(3.3479562549375483, -4.385373499042235)"
151,5.066666666666658,LOCKED,17.576934203130968,12.524843215942383,Fog,12.0,0.04,"(0.6694227466584379, 7.971942873996042)","(0.4328164313716476, 0.17067444228497308)"
152,5.099999999999992,LOCKED,18.65502172371821,10.720014572143555,Fog,12.0,0.04,"(1.0026658685143488, 7.936917610515834)","(4.29086572947069, -0.4464076128778096)"
153,5.133333333333325,LOCKED,15.867971222215534,12.568235397338867,Fog,12.0,0.04,"(1.334149973728734, 7.887968296564054)","(-1.3789260467957583, 1.6747592548453216)"
154,5.166666666666658,LOCKED,23.146066073677545,12.441158294677734,Fog,12.0,0.04,"(1.6632935265419917, 7.825180805870462)","(-2.8024401899898472, -4.322779068552517)"
155,5.199999999999991,LOCKED,18.57562299341793,13.103246688842773,Fog,12.0,0.04,"(1.9895190973187495, 7.748665289029072)","(-0.2654727117150504, -0.9973275768613803)"
156,5.2333333333333245,LOCKED,19.539679666144437,10.421514511108398,Fog,12.0,0.04,"(2.3122543755556855, 7.658555980256565)","(-3.2091607136535156, -1.5898582786184638)"
